Date,History Adj Close,Daily New Cases,Volume,ROE,ROA,PM,EPS,Adj Close
2012-01-06 00:00:00,173.100006,0,3809100,0.8112,0.3306,0.5793,0.14,182.610001
2012-01-09 00:00:00,179.029999,0,7008400,0.8112,0.3306,0.5793,0.14,178.559998
2012-01-10 00:00:00,177.509995,0,5056900,2.2689,0.6963,1.0097,0.38,179.339996
2012-01-11 00:00:00,177.610001,0,3985800,2.2689,0.6963,1.0097,0.38,178.899994
2012-01-12 00:00:00,182.610001,0,3102700,2.2689,0.6963,1.0097,0.38,175.929993
2012-01-13 00:00:00,178.559998,0,5385800,2.2689,0.6963,1.0097,0.38,178.419998
2012-01-17 00:00:00,179.339996,0,4753500,2.2689,0.6963,1.0097,0.38,181.660004
2012-01-18 00:00:00,178.899994,0,5644500,2.2689,0.6963,1.0097,0.38,189.440002
2012-01-19 00:00:00,175.929993,0,7473500,2.2689,0.6963,1.0097,0.38,194.449997
2012-01-20 00:00:00,178.419998,0,7096000,2.2689,0.6963,1.0097,0.38,190.929993
2012-01-23 00:00:00,181.660004,0,5610300,2.2689,0.6963,1.0097,0.38,186.089996
2012-01-24 00:00:00,189.440002,0,4585300,2.2689,0.6963,1.0097,0.38,187
2012-01-25 00:00:00,194.449997,0,4673800,2.2689,0.6963,1.0097,0.38,187.800003
2012-01-26 00:00:00,190.929993,0,4306400,2.2689,0.6963,1.0097,0.38,193.320007
2012-01-27 00:00:00,186.089996,0,5873600,2.2689,0.6963,1.0097,0.38,195.369995
2012-01-30 00:00:00,187,0,4659000,2.2689,0.6963,1.0097,0.38,192.149994
2012-01-31 00:00:00,187.800003,0,5424100,2.2689,0.6963,1.0097,0.38,194.440002
2012-02-01 00:00:00,193.320007,0,12772200,2.2689,0.6963,1.0097,0.38,179.460007
2012-02-02 00:00:00,195.369995,0,21336600,2.2689,0.6963,1.0097,0.38,181.720001
2012-02-03 00:00:00,192.149994,0,8736300,2.2689,0.6963,1.0097,0.38,187.679993
2012-02-06 00:00:00,194.440002,0,8120500,2.2689,0.6963,1.0097,0.38,183.139999
2012-02-07 00:00:00,179.460007,0,5310000,2.2689,0.6963,1.0097,0.38,184.190002
2012-02-08 00:00:00,181.720001,0,5103900,2.2689,0.6963,1.0097,0.38,185.479996
2012-02-09 00:00:00,187.679993,0,5476600,2.2689,0.6963,1.0097,0.38,184.979996
2012-02-10 00:00:00,183.139999,0,7189200,2.2689,0.6963,1.0097,0.38,185.539993
2012-02-13 00:00:00,184.190002,0,5797100,2.2689,0.6963,1.0097,0.38,191.589996
2012-02-14 00:00:00,185.479996,0,6071400,2.2689,0.6963,1.0097,0.38,191.300003
2012-02-15 00:00:00,184.979996,0,9527100,2.2689,0.6963,1.0097,0.38,184.470001
2012-02-16 00:00:00,185.539993,0,7794400,2.2689,0.6963,1.0097,0.38,179.929993
2012-02-17 00:00:00,191.589996,0,12563800,2.2689,0.6963,1.0097,0.38,182.5
2012-02-21 00:00:00,191.300003,0,7418100,2.2689,0.6963,1.0097,0.38,182.259995
2012-02-22 00:00:00,184.470001,0,6756500,2.2689,0.6963,1.0097,0.38,180.580002
2012-02-23 00:00:00,179.929993,0,5785400,2.2689,0.6963,1.0097,0.38,178.889999
2012-02-24 00:00:00,182.5,0,5153800,2.2689,0.6963,1.0097,0.38,179.130005
2012-02-27 00:00:00,182.259995,0,3668700,2.2689,0.6963,1.0097,0.38,178.529999
2012-02-28 00:00:00,180.580002,0,3706200,2.2689,0.6963,1.0097,0.38,183.800003
2012-02-29 00:00:00,178.889999,0,5764500,2.2689,0.6963,1.0097,0.38,179.690002
2012-03-01 00:00:00,179.130005,0,5300300,2.2689,0.6963,1.0097,0.38,180.039993
2012-03-02 00:00:00,178.529999,0,4936000,2.2689,0.6963,1.0097,0.38,179.300003
2012-03-05 00:00:00,183.800003,0,3657800,2.2689,0.6963,1.0097,0.38,180.259995
2012-03-06 00:00:00,179.690002,0,4682700,2.2689,0.6963,1.0097,0.38,181.089996
2012-03-07 00:00:00,180.039993,0,5612200,2.2689,0.6963,1.0097,0.38,183.770004
2012-03-08 00:00:00,179.300003,0,4951500,2.2689,0.6963,1.0097,0.38,187.639999
2012-03-09 00:00:00,180.259995,0,4221500,2.2689,0.6963,1.0097,0.38,184.320007
2012-03-12 00:00:00,181.089996,0,4510600,2.2689,0.6963,1.0097,0.38,183.389999
2012-03-13 00:00:00,183.770004,0,2587600,2.2689,0.6963,1.0097,0.38,184.589996
2012-03-14 00:00:00,187.639999,0,4405800,2.2689,0.6963,1.0097,0.38,182.259995
