Date,Daily New Cases,Volume,PM,EPS,Adj Close
2013-07-05  00:00:00,0,1373000,0.5103,0.18,277.549988
2013-07-08  00:00:00,0,1985400,0.5103,0.18,277.690002
2013-07-09  00:00:00,0,3046700,-0.0446,-0.02,282.100006
2013-07-10  00:00:00,0,2775600,-0.0446,-0.02,283.730011
2013-07-11  00:00:00,0,1810200,-0.0446,-0.02,284.029999
2013-07-12  00:00:00,0,4007300,-0.0446,-0.02,285.880005
2013-07-15  00:00:00,0,4539300,-0.0446,-0.02,290.589996
2013-07-16  00:00:00,0,2245600,-0.0446,-0.02,291.529999
2013-07-17  00:00:00,0,2660200,-0.0446,-0.02,292.329987
2013-07-18  00:00:00,0,2029700,-0.0446,-0.02,299.660004
2013-07-19  00:00:00,0,3063800,-0.0446,-0.02,307.549988
2013-07-22  00:00:00,0,2973100,-0.0446,-0.02,306.570007
2013-07-23  00:00:00,0,2520700,-0.0446,-0.02,306.869995
2013-07-24  00:00:00,0,1999600,-0.0446,-0.02,308.690002
2013-07-25  00:00:00,0,2000500,-0.0446,-0.02,304.109985
2013-07-26  00:00:00,0,5405800,-0.0446,-0.02,305.230011
2013-07-29  00:00:00,0,8817500,-0.0446,-0.02,303.480011
2013-07-30  00:00:00,0,3211800,-0.0446,-0.02,301.059998
2013-07-31  00:00:00,0,3053400,-0.0446,-0.02,298.940002
2013-08-01  00:00:00,0,1891300,-0.0446,-0.02,303.399994
2013-08-02  00:00:00,0,2971700,-0.0446,-0.02,312.01001
2013-08-05  00:00:00,0,2502600,-0.0446,-0.02,306.100006
2013-08-06  00:00:00,0,2233200,-0.0446,-0.02,302.410004
2013-08-07  00:00:00,0,1849000,-0.0446,-0.02,301.220001
2013-08-08  00:00:00,0,1961000,-0.0446,-0.02,305.570007
2013-08-09  00:00:00,0,2343400,-0.0446,-0.02,304.209991
2013-08-12  00:00:00,0,1950300,-0.0446,-0.02,300.98999
2013-08-13  00:00:00,0,1504500,-0.0446,-0.02,300.75
2013-08-14  00:00:00,0,2349900,-0.0446,-0.02,296.910004
2013-08-15  00:00:00,0,1415000,-0.0446,-0.02,295.73999
2013-08-16  00:00:00,0,2261400,-0.0446,-0.02,297.26001
2013-08-19  00:00:00,0,2422500,-0.0446,-0.02,296.690002
2013-08-20  00:00:00,0,2477400,-0.0446,-0.02,293.970001
2013-08-21  00:00:00,0,1586300,-0.0446,-0.02,291.339996
2013-08-22  00:00:00,0,1815300,-0.0446,-0.02,286.470001
2013-08-23  00:00:00,0,1422600,-0.0446,-0.02,284.820007
2013-08-26  00:00:00,0,1961900,-0.0446,-0.02,285.570007
2013-08-27  00:00:00,0,1711700,-0.0446,-0.02,287.089996
2013-08-28  00:00:00,0,2476000,-0.0446,-0.02,284.570007
2013-08-29  00:00:00,0,1457100,-0.0446,-0.02,289.730011
2013-08-30  00:00:00,0,1566400,-0.0446,-0.02,290.01001
2013-09-03  00:00:00,0,1534700,-0.0446,-0.02,286.209991
2013-09-04  00:00:00,0,2897600,-0.0446,-0.02,280.929993
2013-09-05  00:00:00,0,2438600,-0.0446,-0.02,281.579987
2013-09-06  00:00:00,0,1816600,-0.0446,-0.02,283.980011
2013-09-09  00:00:00,0,2292000,-0.0446,-0.02,280.980011
2013-09-10  00:00:00,0,1643600,-0.0446,-0.02,288.799988
2013-09-11  00:00:00,0,1778400,-0.0446,-0.02,293.640015
2013-09-12  00:00:00,0,1742600,-0.0446,-0.02,294.100006
2013-09-13  00:00:00,0,1606200,-0.0446,-0.02,295.859985
2013-09-16  00:00:00,0,1350600,-0.0446,-0.02,299.709991
2013-09-17  00:00:00,0,1808400,-0.0446,-0.02,300.359985
2013-09-18  00:00:00,0,2296500,-0.0446,-0.02,299.640015
2013-09-19  00:00:00,0,2946400,-0.0446,-0.02,298.859985
2013-09-20  00:00:00,0,2350900,-0.0446,-0.02,297.920013
2013-09-23  00:00:00,0,5302300,-0.0446,-0.02,296.059998
2013-09-24  00:00:00,0,1884900,-0.0446,-0.02,304.170013
2013-09-25  00:00:00,0,2033600,-0.0446,-0.02,312.029999
2013-09-26  00:00:00,0,2008600,-0.0446,-0.02,312.059998
2013-09-27  00:00:00,0,1989900,-0.0446,-0.02,316.339996
2013-09-30  00:00:00,0,1657500,-0.0446,-0.02,311.48999
2013-10-01  00:00:00,0,1623600,-0.0446,-0.02,314.130005
2013-10-02  00:00:00,0,2396400,-0.0446,-0.02,312.649994
2013-10-03  00:00:00,0,2217400,-0.0446,-0.02,318.119995
2013-10-04  00:00:00,0,2674800,-0.0446,-0.02,316.01001
2013-10-07  00:00:00,0,1815000,-0.2399,-0.09,312.640015
2013-10-08  00:00:00,0,2083200,-0.2399,-0.09,320.950012
